지점,지점명,일시,최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위)
108,서울,2020-05-16,4.9,70,10,3.3,90,1,1.6,1364,290
108,서울,2020-05-17,7.7,340,448,4.3,320,456,1.7,1511,320
108,서울,2020-05-18,16.4,290,1556,7.2,290,1607,2.4,2093,140
108,서울,2020-05-19,12.9,70,1503,7.2,70,1436,3.2,2798,50
108,서울,2020-05-20,6,50,1207,3,90,2110,1.9,1635,90
108,서울,2020-05-21,6.1,90,539,3.3,90,609,2.1,1830,90
108,서울,2020-05-22,8,160,950,4.9,290,1742,1.9,1616,290
108,서울,2020-05-23,8.3,290,1703,4.7,270,1703,2.2,1865,290
108,서울,2020-05-24,12.8,270,728,6.5,270,727,2.9,2484,230
108,서울,2020-05-25,6,250,1424,3.8,290,1623,2.1,1774,320
108,서울,2020-05-26,8.8,320,1503,5.4,320,1511,2.1,1828,290
108,서울,2020-05-27,9.3,290,1623,5.9,290,1804,2.6,2273,320
108,서울,2020-05-28,7.3,270,1332,3.9,290,1338,1.9,1656,320
108,서울,2020-05-29,6.7,180,1449,4.1,180,1452,2,1705,290
108,서울,2020-05-30,7,340,1724,4.3,320,1725,1.9,1652,290
108,서울,2020-05-31,8.6,340,1857,5.7,320,1901,2.3,2012,320
108,서울,2020-06-01,12.3,320,1205,6.2,290,1239,3.4,2974,290
108,서울,2020-06-02,9.1,160,1340,4.1,250,1629,2.2,1889,290
108,서울,2020-06-03,8.8,290,1948,5.6,290,2005,2.4,2061,290
108,서울,2020-06-04,7.7,250,1416,4.7,270,1429,2.7,2334,250
108,서울,2020-06-05,6.7,320,1826,3.8,290,1845,1.8,1593,290
108,서울,2020-06-06,7.8,290,1646,4.4,290,1730,2,1685,290
108,서울,2020-06-07,7.3,180,1105,5.1,200,1110,2.3,1991,290
108,서울,2020-06-08,8.8,290,1759,5.5,290,1824,2.1,1831,290
108,서울,2020-06-09,7.9,340,1622,4.3,290,1538,2.3,1965,320
108,서울,2020-06-10,9.8,270,1755,6.2,340,1747,2,1750,290
108,서울,2020-06-11,7.2,270,2022,4.6,290,2022,2.2,1935,290
108,서울,2020-06-12,4.7,340,424,3,320,424,1.7,1467,290
108,서울,2020-06-13,8.4,290,1946,5,290,1946,1.9,1639,290
108,서울,2020-06-14,10.1,320,1822,5.9,290,1627,2.9,2510,270
108,서울,2020-06-15,13.4,250,1538,6.3,290,1616,2.8,2427,270
108,서울,2020-06-16,6.9,250,1652,4.4,270,1651,2.2,1923,290
108,서울,2020-06-17,7.9,230,1626,4.3,290,1644,2,1701,290
108,서울,2020-06-18,5.6,290,1840,3.4,290,1845,1.6,1407,320
108,서울,2020-06-19,7.1,50,56,4.2,290,1901,2.1,1821,70
108,서울,2020-06-20,7.9,270,1542,4.6,320,1616,2.1,1853,290
108,서울,2020-06-21,8.4,290,1515,4.5,290,1518,2,1713,320
108,서울,2020-06-22,6.7,290,1700,4.1,290,1807,2,1698,290
108,서울,2020-06-23,5.7,250,1428,3.7,250,1430,1.9,1602,270
108,서울,2020-06-24,10,110,702,5.7,140,1005,2.7,2359,50
108,서울,2020-06-25,7.1,180,1510,4.3,180,2126,2.2,1909,180
108,서울,2020-06-26,9.5,200,315,5.3,230,323,3.2,2786,230
108,서울,2020-06-27,8.3,250,1642,5.4,290,1759,2,1696,250
108,서울,2020-06-28,7.7,270,1641,4.7,250,1646,2.4,2059,270
108,서울,2020-06-29,9.9,50,2257,5.9,50,2337,2.4,2069,50
108,서울,2020-06-30,14.5,50,220,7.6,50,232,4,3443,320
108,서울,2020-07-01,6.1,320,10,3.7,320,26,1.9,1625,270
108,서울,2020-07-02,5.4,230,2110,3.4,270,1802,1.9,1605,110
108,서울,2020-07-03,10.5,140,1446,6.1,160,1527,2.6,2259,50
108,서울,2020-07-04,7.4,270,1648,4.4,250,1632,2.1,1808,270
108,서울,2020-07-05,5.5,270,1335,3.5,250,1731,1.9,1645,250
108,서울,2020-07-06,7.7,340,1711,4.7,320,1711,2.1,1798,270
108,서울,2020-07-07,6.6,320,2206,4,290,1553,2.5,2156,270
108,서울,2020-07-08,6.4,250,1356,3.7,290,1439,2,1754,270
108,서울,2020-07-09,6.3,160,1247,3.6,320,1923,1.7,1480,110
108,서울,2020-07-10,11.3,20,1609,6.6,50,1555,2.8,2451,50
108,서울,2020-07-11,10,20,1257,5,50,2043,2.6,2275,50
108,서울,2020-07-12,7.5,70,2358,3.6,50,2233,2.4,2051,70
108,서울,2020-07-13,11,50,2100,5.9,50,2121,4,3466,70
108,서울,2020-07-14,8.6,50,220,4.4,50,1347,2.8,2391,50
108,서울,2020-07-15,6.8,50,1514,3.4,50,1336,2,1687,50
108,서울,2020-07-16,6.2,250,1801,3.5,270,1543,1.8,1562,270
108,서울,2020-07-17,9.6,250,1604,5.6,270,1619,1.9,1660,250
108,서울,2020-07-18,6.4,320,1653,4,290,1657,1.6,1406,270
108,서울,2020-07-19,8.4,110,2148,4.3,50,1033,2.7,2364,50
108,서울,2020-07-20,13.4,180,601,7,200,610,3.7,3226,200
108,서울,2020-07-21,6.6,250,1723,4.2,250,1729,1.6,1392,270
108,서울,2020-07-22,5.6,160,1655,3.4,140,1633,1.6,1402,50
108,서울,2020-07-23,14.9,70,2021,8.3,50,1954,3.6,3136,50
108,서울,2020-07-24,16.1,50,109,8.7,50,109,4.6,3944,50
108,서울,2020-07-25,11.3,50,1437,6.1,50,1428,3.1,2703,50
108,서울,2020-07-26,5.9,20,53,3.3,50,952,2,1767,50
108,서울,2020-07-27,5.7,20,1243,3.2,50,1656,2.2,1861,50
108,서울,2020-07-28,5.4,70,1219,3.1,50,1256,2,1734,50
108,서울,2020-07-29,6.7,50,524,3.4,70,524,2,1694,50
108,서울,2020-07-30,7.7,180,1351,3.8,200,1342,2.1,1774,230
108,서울,2020-07-31,8.2,320,2341,4.6,290,2348,2,1701,250
108,서울,2020-08-01,9,180,1952,4.9,180,1948,1.7,1490,230
108,서울,2020-08-02,14.6,250,1538,7.5,250,1543,2.3,2002,180
108,서울,2020-08-03,14.5,200,21,8.3,180,25,3,2626,200
108,서울,2020-08-04,11,180,1402,5.7,200,724,3.5,3043,200
108,서울,2020-08-05,8,200,915,4.6,160,1651,1.9,1654,50
108,서울,2020-08-06,13.1,200,544,6.5,200,545,3.3,2851,200
108,서울,2020-08-07,6.9,110,1126,3.3,110,1800,1.8,1521,50
108,서울,2020-08-08,7.5,110,1055,3.7,70,852,2.3,1949,70
108,서울,2020-08-09,12.4,180,1256,6.8,200,1241,2.6,2278,200
108,서울,2020-08-10,10.2,200,341,4.3,200,348,2,1731,200
108,서울,2020-08-11,9.1,250,500,4.7,200,411,2.2,1858,200
108,서울,2020-08-12,6.7,200,1834,4.3,200,1840,1.9,1637,50
108,서울,2020-08-13,8.7,200,2026,4.9,200,2050,2.5,2169,200
108,서울,2020-08-14,10.9,230,1306,5.7,230,1306,3.5,3065,200
108,서울,2020-08-15,10.5,180,651,5.6,230,655,1.9,1641,200
108,서울,2020-08-16,10,250,1454,5.2,230,1524,3,2613,200
108,서울,2020-08-17,7.1,320,1711,4.1,290,1657,2.3,1996,200
108,서울,2020-08-18,5.4,270,1728,3.6,270,1533,1.6,1375,270
108,서울,2020-08-19,7.6,290,1446,4.4,290,1427,2,1727,270
108,서울,2020-08-20,7.1,290,1913,4.2,270,1620,1.7,1457,250
108,서울,2020-08-21,7.4,290,943,3.5,290,947,1.6,1344,50
108,서울,2020-08-22,8.4,90,1259,5.5,340,1259,2.1,1792,50
108,서울,2020-08-23,6.2,250,1549,3.9,250,1552,1.9,1604,270
108,서울,2020-08-24,8.5,180,1329,4.9,230,1549,2.2,1866,50
